ID,Date Collected,locale,plant family,plant species,plant common name,order,family,sub family,lep species,lep name
6042.0,3-Aug-99,lep,piperaceae,piper sp,,lepidoptera,hesperiidae,pyriginae,quadrus cerialis,piper hesperiid
6064.0,3-Aug-99,succ plot 0-1 yr,piperaceae,piper hispidum,,lepidoptera,hesperiidae,pyriginae,quadrus cerialis,piper hesperiid brown face)
6535.0,18-Jan-00,remote lab clearing,piperaceae,piper reticulatum,,lepidoptera,hesperiidae,pyriginae,quadrus cerialis,piper hesperiid brown face)
6661.0,5-Feb-00,str 850,piperaceae,piper reticulatum,,lepidoptera,hesperiidae,pyriginae,quadrus cerialis,piper hesperiid
6662.0,5-Feb-00,str 850,piperaceae,piper reticulatum,,lepidoptera,hesperiidae,pyriginae,quadrus cerialis,piper hesperiid
6727.0,25-Feb-00,ccl 350,piperaceae,piper reticulatum,,lepidoptera,hesperiidae,pyriginae,quadrus cerialis,piper hesperiid brown face)
6730.0,21-Feb-00,str,piperaceae,piper reticulatum,,lepidoptera,hesperiidae,pyriginae,quadrus cerialis,piper hesperiid brown face)
6731.0,21-Feb-00,str,piperaceae,piper reticulatum,,lepidoptera,hesperiidae,pyriginae,quadrus cerialis,piper hesperiid brown face)
6732.0,21-Feb-00,ccl 780,piperaceae,piper garagaranum,,lepidoptera,hesperiidae,pyriginae,quadrus cerialis,piper hesperiid brown face)
6733.0,24-Feb-00,glacha,piperaceae,piper colonense,,lepidoptera,hesperiidae,pyriginae,quadrus cerialis,piper hesperiid brown face)
6781.0,29-Feb-00,str 600,piperaceae,piper reticulatum,,lepidoptera,hesperiidae,pyriginae,quadrus cerialis,piper hesperiid brown face)
6782.0,29-Feb-00,str 600,piperaceae,piper reticulatum,,lepidoptera,hesperiidae,pyriginae,quadrus cerialis,piper hesperiid brown face)
6829.0,3-Mar-00,ces 750,piperaceae,piper garagaranum,,lepidoptera,hesperiidae,pyriginae,quadrus cerialis,piper hesperiid brown face)
6831.0,3-Mar-00,str,piperaceae,piper reticulatum,,lepidoptera,hesperiidae,pyriginae,quadrus cerialis,piper hesperiid brown face)
6833.0,5-Mar-00,ces 250,piperaceae,piper garagaranum,,lepidoptera,hesperiidae,pyriginae,quadrus cerialis,piper hesperiid brown face)
6847.0,8-Mar-00,ccl,piperaceae,piper garagaranum,,lepidoptera,hesperiidae,pyriginae,quadrus cerialis,piper hesperiid brown face)
6848.0,8-Mar-00,str 450,piperaceae,piper reticulatum,,lepidoptera,hesperiidae,pyriginae,quadrus cerialis,piper hesperiid brown face)
6872.0,10-Mar-00,str 700,piperaceae,piper reticulatum,,lepidoptera,hesperiidae,pyriginae,quadrus cerialis,piper hesperiid brown face)
6900.0,16-Mar-00,str 2300,piperaceae,piper auritum,,lepidoptera,hesperiidae,pyriginae,quadrus cerialis,piper hesperiid brown face)
6945.0,18-Mar-00,str,piperaceae,piper reticulatum,,lepidoptera,hesperiidae,pyriginae,quadrus cerialis,piper hesperiid brown face)
6956.0,19-Mar-00,ces,piperaceae,piper colonense,,lepidoptera,hesperiidae,pyriginae,quadrus cerialis,piper hesperiid
7573.0,10-Apr-00,ces 150,piperaceae,piper holdridgeanum,,lepidoptera,hesperiidae,pyriginae,quadrus cerialis,piper hesperiid
7655.0,11-Apr-00,str 1000,piperaceae,piper sp,,lepidoptera,hesperiidae,pyriginae,quadrus cerialis,piper hesperiid
10414.0,30-Jun-00,succ plot,piperaceae,piper reticulatum,,lepidoptera,hesperiidae,pyriginae,quadrus cerialis,piper hesperiid
10584.0,11-Jul-00,glacha,piperaceae,piper auritum,,lepidoptera,hesperiidae,pyriginae,quadrus cerialis,piper hesperiid
10598.0,11-Jul-00,glacha,piperaceae,piper auritum,,lepidoptera,hesperiidae,pyriginae,quadrus cerialis,piper hesperiid
10848.0,24-Jul-00,glacha,piperaceae,piper multiplinervium,,lepidoptera,hesperiidae,pyriginae,quadrus cerialis,piper hesperiid
10993.0,2-Aug-00,glacha,piperaceae,piper auritum,,lepidoptera,hesperiidae,pyriginae,quadrus cerialis,piper hesperiid
10999.0,2-Aug-00,glacha,piperaceae,piper multiplinervium,,lepidoptera,hesperiidae,pyriginae,quadrus cerialis,piper hesperiid
11034.0,26-Aug-00,soc 50,piperaceae,piper auritum,,lepidoptera,hesperiidae,pyriginae,quadrus cerialis,piper hesperiid
11157.0,6-Sep-00,glacha,piperaceae,piper auritum,,lepidoptera,hesperiidae,pyriginae,quadrus cerialis,piper hesperiid
11185.0,7-Sep-00,huertos,piperaceae,piper sp,,lepidoptera,hesperiidae,pyriginae,quadrus cerialis,piper hesperiid
11235.0,22-Sep-00,huertos,piperaceae,piper auritum,,lepidoptera,hesperiidae,pyriginae,quadrus cerialis,piper hesperiid
11236.0,22-Sep-00,huertos,piperaceae,piper auritum,,lepidoptera,hesperiidae,pyriginae,quadrus cerialis,piper hesperiid
11245.0,25-Sep-00,huertos,piperaceae,piper reticulatum,,lepidoptera,hesperiidae,pyriginae,quadrus cerialis,piper hesperiid
11250.0,27-Sep-00,str 2300,piperaceae,piper auritum,,lepidoptera,hesperiidae,pyriginae,quadrus cerialis,piper hesperiid
11266.0,29-Sep-00,str 400,piperaceae,piper reticulatum,,lepidoptera,hesperiidae,pyriginae,quadrus cerialis,piper hesperiid
11291.0,23-Oct-00,glacha,piperaceae,piper sp,,lepidoptera,hesperiidae,pyriginae,quadrus cerialis,piper hesperiid
11294.0,23-Oct-00,glacha,piperaceae,piper auritum,,lepidoptera,hesperiidae,pyriginae,quadrus cerialis,piper hesperiid
11367.0,6-Dec-00,huertos,piperaceae,piper auritum,,lepidoptera,hesperiidae,pyriginae,quadrus cerialis,piper hesperiid
11369.0,7-Dec-00,glacha,piperaceae,piper reticulatum,,lepidoptera,hesperiidae,pyriginae,quadrus cerialis,piper hesperiid
11370.0,7-Dec-00,glacha,piperaceae,piper auritum,,lepidoptera,hesperiidae,pyriginae,quadrus cerialis,piper hesperiid
11371.0,7-Dec-00,glacha,piperaceae,piper colonense,,lepidoptera,hesperiidae,pyriginae,quadrus cerialis,piper hesperiid
11372.0,7-Dec-00,glacha,piperaceae,piper reticulatum,,lepidoptera,hesperiidae,pyriginae,quadrus cerialis,piper hesperiid
11415.0,12-Dec-00,str 1200,piperaceae,piper colonense,,lepidoptera,hesperiidae,pyriginae,quadrus cerialis,piper hesperiid
11421.0,17-Dec-00,str 210,piperaceae,piper reticulatum,,lepidoptera,hesperiidae,pyriginae,quadrus cerialis,piper hesperiid
11422.0,17-Dec-00,str 210,piperaceae,piper reticulatum,,lepidoptera,hesperiidae,pyriginae,quadrus cerialis,piper hesperiid
11433.0,17-Dec-00,str 210,piperaceae,piper reticulatum,,lepidoptera,hesperiidae,pyriginae,quadrus cerialis,piper hesperiid
11591.0,20-Dec-00,huertos,piperaceae,piper auritum,,lepidoptera,hesperiidae,pyriginae,quadrus cerialis,piper hesperiid
11641.0,21-Dec-00,la guaria,convolvulaceae,ipomoea sp,,lepidoptera,hesperiidae,pyriginae,quadrus cerialis,piper hesperiid
11807.0,29-Dec-00,str 1300,piperaceae,piper multiplinervium,,lepidoptera,hesperiidae,pyriginae,quadrus cerialis,piper hesperiid
11808.0,29-Dec-00,huertos,piperaceae,piper reticulatum,,lepidoptera,hesperiidae,pyriginae,quadrus cerialis,piper hesperiid
11912.0,7-Feb-01,succ plot,piperaceae,piper sp,,lepidoptera,hesperiidae,pyriginae,quadrus cerialis,piper hesperiid
11913.0,7-Feb-01,succ plot,piperaceae,piper sp,,lepidoptera,hesperiidae,pyriginae,quadrus cerialis,piper hesperiid
11982.0,16-Feb-01,huertos,piperaceae,piper reticulatum,,lepidoptera,hesperiidae,pyriginae,quadrus cerialis,piper hesperiid
11997.0,2-Apr-01,glacha,piperaceae,piper reticulatum,,lepidoptera,hesperiidae,pyriginae,quadrus cerialis,piper hesperiid
12066.0,6-Apr-01,huertos,piperaceae,piper auritum,,lepidoptera,hesperiidae,pyriginae,quadrus cerialis,piper hesperiid
12100.0,9-May-01,str 700,piperaceae,piper reticulatum,,lepidoptera,hesperiidae,pyriginae,quadrus cerialis,piper hesperiid
12222.0,19-Jun-01,succ plot,piperaceae,piper colonense,,lepidoptera,hesperiidae,pyriginae,quadrus cerialis,piper hesperiid
12316.0,3-Jul-01,succ plot,piperaceae,piper colonense,,lepidoptera,hesperiidae,pyriginae,quadrus cerialis,piper hesperiid
12468.0,8-Jul-01,str 150,piperaceae,piper reticulatum,,lepidoptera,hesperiidae,pyriginae,quadrus cerialis,piper hesperiid
12475.0,8-Jul-01,succ plot,piperaceae,piper sp,,lepidoptera,hesperiidae,pyriginae,quadrus cerialis,piper hesperiid
12665.0,17-Jul-01,succ plot,piperaceae,piper colonense,,lepidoptera,hesperiidae,pyriginae,quadrus cerialis,piper hesperiid
12721.0,8-Jul-01,sen 750,piperaceae,piper reticulatum,,lepidoptera,hesperiidae,pyriginae,quadrus cerialis,piper hesperiid
12832.0,20-Jul-01,huertos,piperaceae,piper reticulatum,,lepidoptera,hesperiidae,pyriginae,quadrus cerialis,piper hesperiid
12936.0,26-Jul-01,ces 300,piperaceae,piper reticulatum,,lepidoptera,hesperiidae,pyriginae,quadrus cerialis,piper hesperiid
12937.0,26-Jul-01,ces 300,piperaceae,piper reticulatum,,lepidoptera,hesperiidae,pyriginae,quadrus cerialis,piper hesperiid
13005.0,5-Nov-01,glacha,piperaceae,piper multiplinervium,,lepidoptera,hesperiidae,pyriginae,quadrus cerialis,
13153.0,29-Dec-01,succ plot,piperaceae,piper sp,,lepidoptera,hesperiidae,pyriginae,quadrus cerialis,
13361.0,30-Dec-01,huertos,piperaceae,piper peltatum,,lepidoptera,hesperiidae,pyriginae,quadrus cerialis,quadrus cerialis
13376.0,30-Dec-01,ssa 200,piperaceae,piper multiplinervium,,lepidoptera,hesperiidae,pyriginae,quadrus cerialis,quadrus cerialis
13957.0,4-Jan-02,str 1000,piperaceae,piper auritum,,lepidoptera,hesperiidae,pyriginae,quadrus cerialis,
13959.0,4-Jan-02,ssa,piperaceae,piper cenocladum,,lepidoptera,hesperiidae,pyriginae,quadrus cerialis,
13966.0,4-Jan-02,ls 1450,piperaceae,piper generalense,,lepidoptera,hesperiidae,pyriginae,quadrus cerialis,
14259.0,7-May-02,succ plot,piperaceae,piper hispidum,,lepidoptera,hesperiidae,pyriginae,quadrus cerialis,
14371.0,17-May-02,str 200,piperaceae,piper reticulatum,,lepidoptera,hesperiidae,pyriginae,quadrus cerialis,
14596.0,18-May-02,succ plot,piperaceae,piper multiplinervium,,lepidoptera,hesperiidae,pyriginae,quadrus cerialis,
14597.0,18-May-02,succ plot,piperaceae,piper multiplinervium,,lepidoptera,hesperiidae,pyriginae,quadrus cerialis,
14598.0,18-May-02,succ plot,piperaceae,piper multiplinervium,,lepidoptera,hesperiidae,pyriginae,quadrus cerialis,
14710.0,19-May-02,sso 725,piperaceae,piper melanocladum,,lepidoptera,hesperiidae,pyriginae,quadrus cerialis,
14714.0,20-May-02,succ plot,piperaceae,piper hispidum,,lepidoptera,hesperiidae,pyriginae,quadrus cerialis,
14740.0,20-May-02,glacha,piperaceae,piper reticulatum,,lepidoptera,hesperiidae,pyriginae,quadrus cerialis,
14770.0,23-May-02,huertos,piperaceae,piper colonense,,lepidoptera,hesperiidae,pyriginae,quadrus cerialis,
14999.0,31-May-02,str 125,piperaceae,piper multiplinervium,,lepidoptera,hesperiidae,pyriginae,quadrus cerialis,
15005.0,31-May-02,,piperaceae,piper hispidum,,lepidoptera,hesperiidae,pyriginae,quadrus cerialis,
15284.0,5-Jun-02,succ plot,piperaceae,piper colonense,,lepidoptera,hesperiidae,pyriginae,quadrus cerialis,quadrus cerialis
15484.0,2-Sep-02,glacha,piperaceae,piper auritum,,lepidoptera,hesperiidae,pyriginae,quadrus cerialis,quadrus cerialis
15840.0,12-Dec-02,succ plot,piperaceae,piper colonense,,lepidoptera,hesperiidae,pyriginae,quadrus cerialis,quadrus cerialis
