INDIV,species,locality,WT,SVL,TL,Trial1,Trial2,BASE,INJ #,TTX DOSE,POST TIME,POST/BASE,1 MU/g,ml of Dilution,,
5.205,T.c.,Dogtown Cr.,33.3,465,649,0.72,0.686,0.703,1MU,0.000475857,0.67,104.93%,,0.048,0.01,
5.205,T.c.,Dogtown Cr.,33.3,465,649,0.72,0.686,0.703,25MU,0.011896425,0.838,83.89%,,0.119,0.1,
5.205,T.c.,Dogtown Cr.,33.3,465,649,0.72,0.686,0.703,50MU,0.02379285,0.979,71.81%,,0.024,1,
5.205,T.c.,Dogtown Cr.,33.3,465,649,0.72,0.686,0.703,75MU,0.035689275,1.244,56.51%,,0.036,1,>75
5.206,T.c.,Dogtown Cr.,90.8,647,836,0.572,0.643,0.608,1MU,0.001297532,0.489,124.23%,,0.13,0.01,
5.206,T.c.,Dogtown Cr.,90.8,647,836,0.572,0.643,0.608,25MU,0.0324383,0.933,65.11%,,0.324,0.1,51.1
5.206,T.c.,Dogtown Cr.,90.8,647,836,0.572,0.643,0.608,50MU,0.0648766,1.203,50.50%,,0.065,1,
5.206,T.c.,Dogtown Cr.,90.8,647,836,0.572,0.643,0.608,75MU,0.0973149,1.431,42.45%,,0.097,1,
5.207,T.c.,Dogtown Cr.,15.3,355,487,0.881,0.825,0.853,1MU,0.000218637,0.831,102.65%,,0.044,0.005,20
5.207,T.c.,Dogtown Cr.,15.3,355,487,0.881,0.825,0.853,25MU,0.005465925,2.307,36.97%,,0.055,0.1,
5.207,T.c.,Dogtown Cr.,15.3,355,487,0.881,0.825,0.853,50MU,0.01093185,4.996,17.07%,,0.109,0.1,
5.207,T.c.,Dogtown Cr.,15.3,355,487,0.881,0.825,0.853,,,,,,,,
5.248,T.c.,Pollock Pines,20.2,406,529,0.542,0.53,0.536,10MU,0.00288658,0.635,84.41%,,0.029,0.1,61
5.248,T.c.,Pollock Pines,20.2,406,529,0.542,0.53,0.536,25MU,0.00721645,1.137,47.14%,,0.072,0.1,
5.248,T.c.,Pollock Pines,20.2,406,529,0.542,0.53,0.536,50MU,0.0144329,0.888,60.36%,,0.014,1,
5.248,T.c.,Pollock Pines,20.2,406,529,0.542,0.53,0.536,100MU,0.0288658,4.09,13.11%,,0.029,1,
5.273,T.c.,Pollock Pines,34.2,465,624,0.557,0.583,0.57,10MU,0.00488718,0.733,77.76%,,0.098,0.05,43.8
5.273,T.c.,Pollock Pines,34.2,465,624,0.557,0.583,0.57,25MU,0.01221795,0.693,82.25%,,0.122,0.1,
5.273,T.c.,Pollock Pines,34.2,465,624,0.557,0.583,0.57,50MU,0.0244359,1.452,39.26%,,0.244,0.1,
5.273,T.c.,Pollock Pines,34.2,465,624,0.557,0.583,0.57,75MU,0.03665385,2.02,28.22%,,0.037,1,
5.63,T.c.,"Deep Cr., Fresno Co.",5.7,235,316,,0.847,0.847,10MU,0.00081453,0.909,93.18%,0.00001429,0.081,0.01,>100
5.63,T.c.,"Deep Cr., Fresno Co.",5.7,235,316,,0.847,0.847,50MU,0.00407265,2.008,42.18%,,0.041,0.1,
5.63,T.c.,"Deep Cr., Fresno Co.",5.7,235,316,,0.847,0.847,100MU,0.0081453,1.317,64.31%,,0.081,0.1,
5.64,T.c.,"Deep Cr., Fresno Co.",6.6,242,331,1.061,,1.061,10MU,0.00094314,,,,0.094,0.01,>100
5.64,T.c.,"Deep Cr., Fresno Co.",6.6,242,331,1.061,,1.061,50MU,0.0047157,1.565,67.80%,,0.047,0.1,
5.64,T.c.,"Deep Cr., Fresno Co.",6.6,242,331,1.061,,1.061,100MU,0.0094314,1.374,77.22%,,0.094,0.1,
5.65,T.c.,"Deep Cr., Fresno Co.",19.1,378,502,0.77,,0.77,10MU,0.00272939,0.883,87.20%,,0.027,0.1,>100
5.65,T.c.,"Deep Cr., Fresno Co.",19.1,378,502,0.77,,0.77,50MU,0.01364695,,,,0.136,0.1,
5.65,T.c.,"Deep Cr., Fresno Co.",19.1,378,502,0.77,,0.77,100MU,0.0272939,1.198,64.27%,,0.027,1,
5.66,T.c.,"Deep Cr., Fresno Co.",35.4,422,556,0.857,0.838,0.848,10MU,0.00505866,0.797,106.34%,,0.051,0.1,93.5
5.66,T.c.,"Deep Cr., Fresno Co.",35.4,422,556,0.857,0.838,0.848,50MU,0.0252933,0.712,119.03%,,0.253,0.1,
5.66,T.c.,"Deep Cr., Fresno Co.",35.4,422,556,0.857,0.838,0.848,100MU,0.0505866,2.001,42.35%,,0.051,1,
5.67,T.c.,"Deep Cr., Fresno Co.",46.7,458,,0.815,,0.815,10MU,0.00667343,0.834,97.72%,,0.067,0.1,>100
5.67,T.c.,"Deep Cr., Fresno Co.",46.7,458,,0.815,,0.815,50MU,0.03336715,1.054,77.32%,,0.334,0.1,
5.67,T.c.,"Deep Cr., Fresno Co.",46.7,458,,0.815,,0.815,100MU,0.0667343,0.789,103.30%,,0.067,1,
5.68,T.c.,"Deep Cr., Fresno Co.",5.3,252,339,1.136,,1.136,10MU,0.00075737,,,,0.076,0.01,Not usable
5.68,T.c.,"Deep Cr., Fresno Co.",5.3,252,339,1.136,,1.136,50MU,0.00378685,2.509,45.28%,,0.038,0.1,
5.68,T.c.,"Deep Cr., Fresno Co.",5.3,252,339,1.136,,1.136,100MU,0.0075737,,,,0.076,0.1,
5.69,T.c.,"Deep Cr., Fresno Co.",12.2,327,444,0.748,0.749,0.749,10MU,0.00174338,,,,0.174,0.01,>100
5.69,T.c.,"Deep Cr., Fresno Co.",12.2,327,444,0.748,0.749,0.749,50MU,0.0087169,1.013,73.89%,,0.087,0.1,
5.69,T.c.,"Deep Cr., Fresno Co.",12.2,327,444,0.748,0.749,0.749,100MU,0.0174338,0.967,77.40%,,0.174,0.1,
5.7,T.c.,"Deep Cr., Fresno Co.",5.6,237,319,0.763,1.113,0.938,10MU,0.00080024,0.789,118.88%,,0.08,0.01,>100
5.7,T.c.,"Deep Cr., Fresno Co.",5.6,237,319,0.763,1.113,0.938,50MU,0.0040012,1.065,88.08%,,0.04,0.1,
5.7,T.c.,"Deep Cr., Fresno Co.",5.6,237,319,0.763,1.113,0.938,100MU,0.0080024,1.427,65.73%,,0.08,0.1,
5.71,T.c.,"Deep Cr., Fresno Co.",3.9,193,256,1.422,1.262,1.342,10MU,0.00055731,1.075,124.84%,,0.056,0.01,>100
5.71,T.c.,"Deep Cr., Fresno Co.",3.9,193,256,1.422,1.262,1.342,50MU,0.00278655,1.499,89.53%,,0.028,0.1,
5.71,T.c.,"Deep Cr., Fresno Co.",3.9,193,256,1.422,1.262,1.342,100MU,0.0055731,1.035,129.66%,,0.056,0.1,
5.72,T.c.,"Deep Cr., Fresno Co.",3.9,205,274,,,#DIV/0!,,,1.254,,,,,
5.72,T.c.,"Deep Cr., Fresno Co.",3.9,205,274,,,,,,,,,,,
5.72,T.c.,"Deep Cr., Fresno Co.",3.9,205,274,,,,,,,,,,,
5.73,T.c.,"Deep Cr., Fresno Co.",10.8,330,411,1.142,,1.142,10MU,0.00154332,0.885,129.04%,,0.154,0.01,
5.73,T.c.,"Deep Cr., Fresno Co.",10.8,330,411,1.142,,1.142,50MU,0.0077166,1.76,64.89%,,0.077,0.1,>50
5.73,T.c.,"Deep Cr., Fresno Co.",10.8,330,411,1.142,,1.142,100MU,0.0154332,,,,0.154,0.1,
5.74,T.c.,"Deep Cr., Fresno Co.",38.6,482,633,0.686,0.612,0.649,10MU,0.00551594,0.673,96.43%,,0.055,0.1,>100
5.74,T.c.,"Deep Cr., Fresno Co.",38.6,482,633,0.686,0.612,0.649,50MU,0.0275797,0.807,80.42%,,0.276,0.1,
5.74,T.c.,"Deep Cr., Fresno Co.",38.6,482,633,0.686,0.612,0.649,100MU,0.0551594,0.933,69.56%,,0.055,1,
5.75,T.c.,"Deep Cr., Fresno Co.",3.6,208,273,,,#DIV/0!,,,,,,,,
5.75,T.c.,"Deep Cr., Fresno Co.",3.6,208,273,,,,,,,,,,,
5.75,T.c.,"Deep Cr., Fresno Co.",3.6,208,273,,,,,,,,,,,
5.76,T.c.,"Deep Cr., Fresno Co.",39.3,469,616,,,#DIV/0!,,,,,,,,
5.76,T.c.,"Deep Cr., Fresno Co.",39.3,469,616,,,,,,,,,,,
5.76,T.c.,"Deep Cr., Fresno Co.",39.3,469,616,,,,,,,,,,,
5.77,T.c.,"Deep Cr., Fresno Co.",24.3,396,539,0.779,0.729,0.754,10MU,0.00347247,0.692,108.96%,,0.035,0.1,>100
5.77,T.c.,"Deep Cr., Fresno Co.",24.3,396,539,0.779,0.729,0.754,50MU,0.01736235,1.158,65.11%,,0.174,0.1,
5.77,T.c.,"Deep Cr., Fresno Co.",24.3,396,539,0.779,0.729,0.754,100MU,0.0347247,1.463,51.54%,,0.035,1,
5.78,T.c.,"Deep Cr., Fresno Co.",29.4,453,595,0.763,0.796,0.78,10MU,0.00420126,0.767,101.63%,,0.042,0.1,86.9
5.78,T.c.,"Deep Cr., Fresno Co.",29.4,453,595,0.763,0.796,0.78,50MU,0.0210063,0.804,96.95%,,0.21,0.1,
5.78,T.c.,"Deep Cr., Fresno Co.",29.4,453,595,0.763,0.796,0.78,100MU,0.0420126,2.341,33.30%,,0.042,1,
5.79,T.c.,"Deep Cr., Fresno Co.",25.6,418,562,0.901,0.84,0.871,10MU,0.00365824,0.886,98.25%,,0.037,0.1,>100
5.79,T.c.,"Deep Cr., Fresno Co.",25.6,418,562,0.901,0.84,0.871,50MU,0.0182912,0.864,100.75%,,0.183,0.1,
5.79,T.c.,"Deep Cr., Fresno Co.",25.6,418,562,0.901,0.84,0.871,100MU,0.0365824,1.02,85.34%,,0.037,1,
5.8,T.c.,"Deep Cr., Fresno Co.",7.1,227,301,,0.982,0.982,10MU,0.00101459,,,81.07%,0.101,0.01,not usable
