 ID ,Collector ID,Species,Locality,,Mass,SVL,TL, Trial1 , Trial2 ,BASE,INJ #,TTX DOSE(mg),POST TIME,POST/BASE,1 MU/g,ml of Dilution,dilution,50%MAMU
16.87,EJE 145,T. couchii,Nevada,Bowman Lake,6.8,,,0.991,,0.991,10MAMU,0.00097172,1.611,61.51%,,0.194,0.005,
16.87,EJE 145,T. couchii,Nevada,Bowman Lake,6.8,,,0.991,,0.991,25MAMU,0.0024293,2.097,47.26%,,0.049,0.05,
16.88,EJE 146,T. couchii,Nevada,Bowman Lake,7,,,,,#DIV/0!,5MAMU,0.00050015,,#DIV/0!,,,,No Data
16.89,EJE 147,T. couchii,Nevada,Bowman Lake,8.4,,,0.935,0.736,0.836,5MAMU,0.00060018,2.783,30.02%,,0.012,0.05,3.85
16.89,EJE 147,T. couchii,Nevada,Bowman Lake,8.4,,,0.935,0.736,0.836,1MAMU,0.000120036,0.837,99.82%,,0.024,0.005,
16.9,EJE 148,T. couchii,Nevada,Bowman Lake,25.1,,,0.748,0.886,0.817,5MAMU,0.001793395,2.336,34.97%,,0.036,0.05,4.09
16.9,EJE 148,T. couchii,Nevada,Bowman Lake,25.1,,,0.748,0.886,0.817,1MAMU,0.000358679,0.758,107.78%,,0.072,0.005,
16.91,EJE 149,T. couchii,Nevada,Bowman Lake,4.1,,,1.187,0.988,1.088,5MAMU,0.000292945,2.052,53.00%,,0.059,0.005,6.4
16.91,EJE 149,T. couchii,Nevada,Bowman Lake,4.1,,,1.187,0.988,1.088,10MAMU,0.00058589,2.566,42.38%,,0.117,0.005,
16.92,EJE 150,T. couchii,Nevada,Bowman Lake,37.8,,,0.853,,0.853,5MAMU,0.00270081,2.773,30.76%,,0.054,0.05,3.5
16.92,EJE 150,T. couchii,Nevada,Bowman Lake,37.8,,,0.853,,0.853,1MAMU,0.000540162,1.038,82.18%,,0.108,0.005,
16.93,EJE 151,T. couchii,Nevada,Faucherie Lake,22.1,,,,,#DIV/0!,5MAMU,0.001579045,,#DIV/0!,,,,No Data
16.94,EJE 152,T. couchii,Nevada,Faucherie Lake,37.3,,,0.678,,0.678,5MAMU,0.002665085,3.005,22.56%,,0.053,0.05,2.9
16.94,EJE 152,T. couchii,Nevada,Faucherie Lake,37.3,,,0.678,,0.678,1MAMU,0.000533017,0.904,75.00%,,0.107,0.005,
16.95,EJE 153,T. couchii,Nevada,Faucherie Lake,29.4,,,0.935,,0.935,5MAMU,0.00210063,,#DIV/0!,,0.042,0.05,No Data
16.95,EJE 153,T. couchii,Nevada,Faucherie Lake,29.4,,,0.935,,0.935,5MAMU,0.00210063,,#DIV/0!,,0.042,0.05,
16.96,EJE 154,T. couchii,Nevada,Faucherie Lake,17.5,,,0.948,0.69,0.819,5MAMU,0.001250375,,#DIV/0!,,0.25,0.005,3.2
16.96,EJE 154,T. couchii,Nevada,Faucherie Lake,17.5,,,0.948,0.69,0.819,5MAMU,0.001250375,8.954,9.15%,,0.025,0.05,
16.96,EJE 154,T. couchii,Nevada,Faucherie Lake,17.5,,,0.948,0.69,0.819,1MAMU,0.000250075,0.807,101.49%,,0.05,0.005,
16.97,EJE 155,T. couchii,Nevada,Faucherie Lake,9.4,,,0.621,,0.621,5MAMU,0.00067163,5.931,10.47%,,0.013,0.05,1.8
16.97,EJE 155,T. couchii,Nevada,Faucherie Lake,9.4,,,0.621,,0.621,1MAMU,0.000134326,1.527,40.67%,,0.027,0.005,
16.97,EJE 155,T. couchii,Nevada,Faucherie Lake,9.4,,,0.621,,0.621,1MAMU,0.000134326,0.971,63.95%,,0.027,0.005,
16.98,EJE 156,T. couchii,Nevada,Faucherie Lake,39,,,0.727,0.658,0.693,5MAMU,0.00278655,6.546,10.58%,,0.056,0.05,3.15
16.98,EJE 156,T. couchii,Nevada,Faucherie Lake,39,,,0.727,0.658,0.693,1MAMU,0.00055731,0.725,95.52%,,0.111,0.005,
16.99,EJE 157,T. couchii,Nevada,Faucherie Lake,45,,,0.557,,0.557,5MAMU,0.00321525,7.8,7.14%,,0.064,0.05,No Data
16.99,EJE 157,T. couchii,Nevada,Faucherie Lake,45,,,0.557,,0.557,1MAMU,0.00064305,1.164,47.85%,,0.129,0.005,
16.99,EJE 157,T. couchii,Nevada,Faucherie Lake,45,,,0.557,,0.557,1MAMU,0.00064305,,#DIV/0!,,0.129,0.005,
,,,,,,,,,,,,,,,,,,
