INDIV,species,Locality,WT,SVL,TL,Trial1,Trial2,BASE,INJ #,TTX DOSE,POST TIME,POST/BASE,ml of Dilution,dilution,,50% MAMU
4.55,T.c.,Grizzly Flat,59.9,544,,0.589,0.611,0.6,25MU,0.021399275,2.047,29.31%,,0.107,0.2,
4.55,T.c.,Grizzly Flat,59.9,544,,0.589,0.611,0.6,50MU,0.04279855,5.735,10.46%,,0.214,,
4.55,T.c.,Grizzly Flat,59.9,544,,0.589,0.611,0.6,100MU,0.0855971,7.215,8.32%,,0.428,,
4.55,T.c.,Grizzly Flat,59.9,544,,0.589,0.611,0.6,200MU,0.1711942,10.824,5.54%,,0.856,,
4.56,T.c.,Grizzly Flat,5.6,220,,1.032,1.167,1.1,1MU,0.000080024,1.19,92.39%,,0.08,0.001,102
4.56,T.c.,Grizzly Flat,5.6,220,,1.032,1.167,1.1,3MU,0.000240072,1.293,85.03%,,0.024,,
4.56,T.c.,Grizzly Flat,5.6,220,,1.032,1.167,1.1,6MU,0.000480144,1.39,79.10%,,0.01,,
4.56,T.c.,Grizzly Flat,5.6,220,,1.032,1.167,1.1,10MU,0.00080024,1.232,89.25%,,0.016,,
4.56,T.c.,Grizzly Flat,5.6,220,,1.032,1.167,1.1,25MU,0.0020006,1.395,78.82%,,0.04,,
4.56,T.c.,Grizzly Flat,5.6,220,,1.032,1.167,1.1,50MU,0.0040012,1.322,83.17%,,0.02,,
4.56,T.c.,Grizzly Flat,5.6,220,,1.032,1.167,1.1,100MU,0.0080024,2.16,50.90%,,0.04,,
4.56,T.c.,Grizzly Flat,5.6,220,,1.032,1.167,1.1,200MU,0.0160048,7.373,14.91%,,0.08,,
