INDIV,WT,SVL,TL,Trial1,Trial2,BASE,INJ #,TTX DOSE,POST TIME,POST/BASE,,50% MAMU,,
SZ1,3.74,193,262,1.168,1.182,1.175,,0.005,2.405,48.86%,,,,
SZ10,3.45,193,260,1.314,1.385,1.35,,0.002,1.796,75.14%,,86.4,,
SZ10,3.45,193,260,1.314,1.385,1.35,,0.005,2.974,45.38%,,,,
SZ11,3.25,190,248,1.17,1.073,1.122,,0.002,1.896,59.15%,,59,,
SZ11,3.25,190,248,1.17,1.073,1.122,,0.005,3.302,33.96%,,,,
SZ12,3.4,187,252,1.333,1.334,1.334,,0.002,1.759,75.81%,,84.7,,
SZ12,3.4,187,252,1.333,1.334,1.334,,0.005,3.027,44.05%,,,,
SZ2,3.2,175,232,1.316,1.622,1.469,,0.002,1.904,77.15%,,84.2,,
SZ2,3.2,175,232,1.316,1.622,1.469,,0.005,3.378,43.49%,,,,
SZ3,2.98,187,243,1.536,1.255,1.396,,0.002,1.74,80.20%,,>95,,
SZ3,2.98,187,243,1.536,1.255,1.396,,0.005,2.449,56.98%,,,,
SZ4,3.17,186,253,1.395,1.32,1.358,,0.002,2.064,65.77%,,64,,
SZ4,3.17,186,253,1.395,1.32,1.358,,0.005,4.38,30.99%,,,,
SZ5,3.25,188,248,1.23,1.196,1.213,,0.002,2.138,56.74%,,>95,,
SZ5,3.25,188,248,1.23,1.196,1.213,,0.005,2.408,50.37%,,,,
SZ6,3.52,189,255,1.42,1.188,1.304,,0.002,2.556,51.02%,,no data,,
SZ7,3.49,193,260,1.342,1.183,1.263,,0.002,1.453,86.89%,,75.9,,
SZ7,3.49,193,260,1.342,1.183,1.263,,0.005,4.064,31.07%,,,,
SZ8,3.63,195,261,1.293,1.104,1.199,,0.002,2.055,58.32%,,57.4,,
SZ8,3.63,195,261,1.293,1.104,1.199,,0.005,3.561,33.66%,,,,
SZ9,3.65,192,258,1.392,1.402,1.397,,0.002,1.882,74.23%,,81.8,,
SZ9,3.65,192,258,1.392,1.402,1.397,,0.005,3.29,42.46%,,,,
TT1,4.05,209,272,0.925,1.106,1.016,,0.002,1.429,71.06%,,>95,,
TT1,4.05,209,272,0.925,1.106,1.016,,0.005,1.776,57.18%,,,,
TT2,5.34,223,231,0.939,0.908,0.924,,0.002,0.869,106.27%,,>95,,
TT2,5.34,223,231,0.939,0.908,0.924,,0.005,1.661,55.60%,,,,
TT3,5.1,228,303,1.072,0.94,1.006,,0.002,1.219,82.53%,,82.5,,
TT3,5.1,228,303,1.072,0.94,1.006,,0.005,2.481,40.55%,,,,
TT4,4.52,210,275,0.969,1.02,0.995,,0.002,1.364,72.91%,,>95,,
