 INDIV ,species,Locality,WT,SVL,TL, Trial1 , Trial2 ,BASE,INJ #,TTX DOSE(mg),POST TIME,POST/BASE,1 MU/g,ml of Dilution,dilution,
7.043,couchii,Oligby,21.2,411,551,0.468,0.459,0.464,25MU,0.0075737,0.885,52.37%,,0.151,0.05,43.4
7.043,couchii,Oligby,21.2,411,551,0.468,0.459,0.464,50MU,0.0151474,0.942,49.20%,,0.303,0.05,
7.043,couchii,Oligby,21.2,411,551,0.468,0.459,0.464,100MU,0.0302948,1.049,44.18%,,0.061,0.5,
7.044,couchii,Oligby,11.7,345,,0.683,0.51,0.597,25MU,0.004179825,0.843,70.76%,,0.084,0.05,>100
7.044,couchii,Oligby,11.7,345,,0.683,0.51,0.597,50MU,0.00835965,0.979,60.93%,,0.167,0.05,
7.044,couchii,Oligby,11.7,345,,0.683,0.51,0.597,100MU,0.0167193,0.913,65.33%,,0.033,0.5,
7.045,couchii,S. F. American(Silver),11.5,342,453,,0.62,0.62,25MU,0.004108375,5.562,11.15%,,0.082,0.05,17.5
7.045,couchii,S. F. American(Silver),11.5,342,453,,0.62,0.62,10MU,0.00164335,0.698,88.83%,,0.329,0.005,
7.046,couchii,S. F. American,76.3,570,,0.659,0.604,0.632,25MU,0.027258175,0.904,69.86%,,0.055,0.5,81.5
7.046,couchii,S. F. American,76.3,570,,0.659,0.604,0.632,50MU,0.05451635,0.904,69.86%,,0.109,0.5,
7.046,couchii,S. F. American,76.3,570,,0.659,0.604,0.632,100MU,0.1090327,1.715,36.82%,,0.218,0.5,
7.048,couchii,S.F.American,12.7,321,419,0.827,0.792,0.81,25MU,,,,0.00001429,,,NO RUN
7.048,couchii,S.F.American,12.7,321,419,0.827,0.792,0.81,50MU,,,,,0,0.05,
7.049,couchii,N.F. Feather,24.7,405,,0.814,0.808,0.811,3MU,0.001058889,0.778,104.24%,,0.021,0.05,8.12
7.049,couchii,N.F. Feather,24.7,405,,0.814,0.808,0.811,6MU,0.002117778,0.701,115.69%,,0.042,0.05,
7.049,couchii,N.F. Feather,24.7,405,,0.814,0.808,0.811,10MU,0.00352963,3.297,24.60%,,0.071,0.05,
7.06,couchii,N fork Kings R.,7.5,290,384,,1.032,1.032,25MU,0.002679375,0.803,128.52%,,0.054,0.05,>100
7.06,couchii,N fork Kings R.,7.5,290,384,,1.032,1.032,50MU,0.00535875,0.891,115.82%,,0.107,0.05,
7.06,couchii,N fork Kings R.,7.5,290,384,,1.032,1.032,100MU,0.0107175,1.058,97.54%,,0.214,0.05,
7.061,couchii,N fork Kings R.,42.9,523,712,0.566,0.616,0.591,25MU,0.015326025,1.127,52.44%,,0.307,0.05,26.4
7.061,couchii,N fork Kings R.,42.9,523,712,0.566,0.616,0.591,50MU,0.03065205,6.201,9.53%,,0.061,0.5,
7.062,couchii,S fork American R.,41.5,531,715,0.74,0.822,0.781,25MU,0.014825875,0.815,95.83%,,0.297,0.05,82.8
7.062,couchii,S fork American R.,41.5,531,715,0.74,0.822,0.781,50MU,0.02965175,0.539,144.90%,,0.059,0.5,
7.062,couchii,S fork American R.,41.5,531,715,0.74,0.822,0.781,100MU,0.0593035,3.287,23.76%,,0.119,0.5,
,,,,,,,,,,,,,,,,
11.017,T. couchii,"NF Mokelumne R, CA",23.4,240,318,0.991,0.917,0.954,10MU,0.00334386,7.978,11.96%,,0.067,0.05,3.06
11.017,T. couchii,"NF Mokelumne R, CA",23.4,240,318,0.991,0.917,0.954,1MU,0.000334386,1.125,84.80%,,0.067,0.005,
11.017,T. couchii,"NF Mokelumne R, CA",23.4,240,318,0.991,0.917,0.954,5MU,0.00167193,5.474,17.43%,,0.033,0.05,
11.018,T. couchii,"NF Mokelumne R, CA",24.7,254,340,0.804,0.801,0.803,10MU,0.00352963,15.448,5.19%,,0.071,0.05,2.47
11.018,T. couchii,"NF Mokelumne R, CA",24.7,254,340,0.804,0.801,0.803,1MU,0.000352963,1.124,71.40%,,0.071,0.005,
11.018,T. couchii,"NF Mokelumne R, CA",24.7,254,340,0.804,0.801,0.803,5MU,0.001764815,5.967,13.45%,,0.035,0.05,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
