INDIV,species,locality,WT,SVL,TL,Trial1,Trial2,BASE,INJ #,TTX DOSE,POST TIME,POST/BASE,1 MU/g,ml of Dilution,Unnamed: 15,Unnamed: 16
5.108,T.c.,Dogtown Cr.,8,278,363,1.355,1.234,1.295,10MU,0.0011432,1.595,81.16%,,0.114,0.01,>100
5.109,T.c.,Dogtown Cr.,4.9,220,294,1.475,1.475,1.475,10MU,0.00070021,2.134,69.12%,67.12%,0.07,0.01,>100
5.139,T.c.,Devil's Corral,13.3,331,439,0.729,0.568,0.649,1MU,0.000190057,1.164,55.71%,0.00001429,0.019,0.01,Can't use these
5.14,T.c.,Devil's Corral,41.9,530,701,0.663,0.501,0.582,1MU,0.000598751,0.776,75.00%,,0.06,0.01,
5.141,T.c.,Devil's Corral,16.4,368,493,0.718,0.809,0.764,1MU,0.000234356,0.897,85.12%,,0.023,0.01,
5.142,T.c.,Devil's Corral,97.7,665,860,0.864,0.781,0.823,1MU,0.001396133,0.814,101.04%,,0.14,0.01,
5.143,T.c.,Devil's Corral,53.4,535,663,0.662,0.626,0.644,1MU,0.000763086,0.573,112.39%,,0.076,0.01,
5.144,T.c.,Devil's Corral,17.8,383,512,0.789,0.661,0.725,1MU,0.000254362,0.786,92.24%,,0.025,0.01,
5.145,T.c.,Devil's Corral,41.1,502,677,0.666,0.539,0.603,1MU,0.000587319,0.685,87.96%,117.17%,0.059,0.01,
5.146,T.c.,Devil's Corral,47,517,676,0.67,0.535,0.603,5MU,0.00335815,0.838,71.90%,,0.336,0.01,7.17
5.147,T.c.,Devil's Corral,20.5,390,,0.782,0.772,0.777,5MU,0.001464725,1.473,52.75%,,0.146,0.01,5.33
5.148,T.c.,Devil's Corral,15.3,355,435,0.753,0.677,0.715,5MU,0.001093185,0.829,86.25%,,0.109,0.01,7.76
5.149,T.c.,Devil's Corral,27.7,430,576,0.633,0.696,0.665,5MU,0.001979165,1.206,55.10%,,0.198,0.01,5.55
5.15,T.c.,Devil's Corral,5.4,260,,1.148,1.096,1.122,5MU,0.00038583,1.762,63.68%,,0.039,0.01,6.19
5.151,T.c.,Devil's Corral,13,344,459,0.815,0.628,0.722,5MU,0.00092885,0.954,75.63%,,0.093,0.01,9.5
5.152,T.c.,Devil's Corral,20,382,493,0.914,0.726,0.82,5MU,0.001429,0.933,87.89%,49.36%,0.143,0.01,7.95
5.195,T.c.,Leoni Meadows,50.2,528,704,0.561,0.753,0.657,1MU,0.000717358,0.677,97.05%,,0.072,0.01,100
5.2,T.c.,Leoni Meadows,40.1,464,597,0.911,0.585,0.748,1MU,0.000573029,0.611,122.42%,,0.057,0.01,100
5.201,T.c.,Leoni Meadows,47.7,504,658,0.71,0.741,0.726,1MU,0.000681633,0.591,122.76%,,0.068,0.01,96.4
5.202,T.c.,Dogtown Cr.,25.8,402,529,0.689,0.688,0.689,1MU,0.000368682,0.691,99.64%,,0.037,0.01,23.1
5.203,T.c.,Dogtown Cr.,55.6,522,728,0.587,0.629,0.608,1MU,0.000794524,0.606,100.33%,,0.079,0.01,26
5.204,T.c.,Dogtown Cr.,44.8,474,,0.636,0.573,0.605,1MU,0.000640192,0.611,98.94%,,0.064,0.01,31.3
5.205,T.c.,Dogtown Cr.,33.3,465,649,0.72,0.686,0.703,1MU,0.000475857,0.67,104.93%,,0.048,0.01,
5.206,T.c.,Dogtown Cr.,90.8,647,836,0.572,0.643,0.608,1MU,0.001297532,0.489,124.23%,,0.13,0.01,
5.207,T.c.,Dogtown Cr.,15.3,355,487,0.881,0.825,0.853,1MU,0.000218637,0.831,102.65%,,0.044,0.005,20
5.248,T.c.,Pollock Pines,20.2,406,529,0.542,0.53,0.536,10MU,0.00288658,0.635,84.41%,,0.029,0.1,61
5.273,T.c.,Pollock Pines,34.2,465,624,0.557,0.583,0.57,10MU,0.00488718,0.733,77.76%,,0.098,0.05,43.8
5.63,T.c.,"Deep Cr., Fresno Co.",5.7,235,316,,0.847,0.847,10MU,0.00081453,0.909,93.18%,0.00001429,0.081,0.01,>100
5.64,T.c.,"Deep Cr., Fresno Co.",6.6,242,331,1.061,,1.061,10MU,0.00094314,,,,0.094,0.01,>100
5.65,T.c.,"Deep Cr., Fresno Co.",19.1,378,502,0.77,,0.77,10MU,0.00272939,0.883,87.20%,,0.027,0.1,>100
5.66,T.c.,"Deep Cr., Fresno Co.",35.4,422,556,0.857,0.838,0.848,10MU,0.00505866,0.797,106.34%,,0.051,0.1,93.5
5.67,T.c.,"Deep Cr., Fresno Co.",46.7,458,,0.815,,0.815,10MU,0.00667343,0.834,97.72%,,0.067,0.1,>100
